task,replan,progress_bin,n_steps,mean_hidden_norm,mean_choice_confidence,mean_PC1,mean_PC2,mean_PC3
1,0,0,2649,1.9637399,1.2321965,0.043364156,-0.155056,-0.10674302
1,0,1,1490,2.1940055,1.6761178,0.06858885,-0.0742863,-0.13165776
1,0,2,1834,2.1634421,1.7578145,0.019741276,-0.08386525,-0.110062085
1,0,3,1580,2.1555634,1.7580161,0.040214323,-0.01289045,-0.12580055
1,0,4,1281,2.1651819,1.844449,0.09531287,-0.036953516,-0.18405926
1,0,5,2034,2.135612,1.9818555,0.095479816,0.030625109,-0.110407025
1,0,6,1831,2.109279,1.9023429,0.0681938,0.065297775,-0.13796382
1,0,7,1583,2.0763776,1.9330062,0.050709963,-0.03925301,-0.1459518
1,0,8,1741,2.076226,2.2773793,0.09694903,0.0055630845,-0.14775476
1,0,9,2764,2.024314,2.3313231,0.016902104,-0.00087763043,-0.18642248
2,0,0,2718,2.0409095,1.208925,0.026453862,-0.09543498,-0.14942105
2,0,1,1705,2.227229,1.6905514,0.051607918,0.0055398694,-0.11980124
2,0,2,1932,2.215064,1.7648866,-0.022136562,0.007942721,-0.09581686
2,0,3,1711,2.1966567,1.8332305,-0.032669596,0.044659194,-0.121986054
2,0,4,1420,2.1830406,1.796292,-0.017704275,0.053866453,-0.12816955
2,0,5,2167,2.160098,1.9227703,-0.061608773,0.038096823,-0.15009412
2,0,6,1907,2.1345723,1.9872072,-0.055858303,0.038382713,-0.14489624
2,0,7,1736,2.1154537,2.030741,-0.035096556,0.058620967,-0.12565346
2,0,8,1901,2.1007397,2.209177,-0.053185374,0.008625867,-0.14047843
2,0,9,2854,2.0365827,2.3111963,0.020432556,0.023049371,-0.20413637
3,0,0,3006,2.0242002,1.2754743,0.040342364,-0.11071084,-0.12222564
3,0,1,1894,2.2088788,1.6602043,0.10056771,-0.06610473,-0.13746685
3,0,2,2183,2.1959572,1.7492937,0.08728166,-0.044552445,-0.09455138
3,0,3,1909,2.1800385,1.7438216,0.037502285,0.0026236982,-0.15552942
3,0,4,1719,2.1765945,1.7961335,0.057022262,-0.04172571,-0.11351775
3,0,5,2362,2.1425214,1.8858687,0.020765942,-0.0003371167,-0.12766184
3,0,6,2172,2.120908,1.9276087,0.019532135,-0.032784358,-0.16591777
3,0,7,1920,2.1082432,1.9612266,0.019532464,-0.0074266554,-0.15606475
3,0,8,2157,2.0785813,2.1616414,0.03578602,0.024991225,-0.1304296
3,0,9,3161,2.0473359,2.3562617,0.009060445,-0.0096691465,-0.18417124
4,0,0,15054,1.7413974,0.8943497,-0.053014595,-0.031822763,0.03757413
4,0,1,11124,2.0902743,1.2947335,-0.018320857,-0.029669017,0.053908825
4,0,2,11995,2.1199083,1.3268309,0.0007600945,-0.02584435,0.076648474
4,0,3,11109,2.1289287,1.3280957,-0.02457688,-0.017202543,0.09151795
4,0,4,10328,2.132598,1.391667,-0.040583353,0.010925546,0.08755697
4,0,5,12786,2.1151056,1.4592829,-0.023179783,0.023068072,0.08473445
4,0,6,11944,2.0992796,1.4731587,-0.013548499,0.012002986,0.07995697
4,0,7,11160,2.0814307,1.5302104,0.0050139814,0.030356526,0.07112997
4,0,8,11959,2.0519416,1.7026217,0.020421587,0.042107638,0.08665164
4,0,9,15811,1.9906406,1.9736831,0.012029584,0.060690243,0.046088252
